reservation_id,price,room_type,room_shared,person_capacity,cleanliness_rating,guest_satisfaction_overall,bedrooms,city_center_distance,metro_distance,city_name
0,137.6641651,Private room,FALSE,2,10,98,1,4.328040986,0.298492672,lisbon
1,123.8273921,Private room,FALSE,2,10,97,1,4.465485874,0.293601812,lisbon
2,193.011257,Private room,FALSE,4,10,87,2,4.475239067,0.167851363,lisbon
3,326.2195122,Entire home/apt,FALSE,6,9,93,2,0.66701819,0.53036239,lisbon
4,174.4840525,Private room,FALSE,3,10,96,1,4.888605808,0.46601757,lisbon
5,274.1557223,Entire home/apt,FALSE,4,10,95,1,0.898030137,0.543705826,lisbon
6,238.2739212,Entire home/apt,FALSE,4,10,96,1,2.434301358,1.852422522,lisbon
7,331.84803,Entire home/apt,FALSE,3,10,91,2,0.742946844,0.384188033,lisbon
8,240.1500938,Entire home/apt,FALSE,4,10,96,1,1.043287068,0.352058875,lisbon
9,136.4915572,Private room,FALSE,2,10,99,1,5.623691524,0.182247884,lisbon
10,245.3095685,Entire home/apt,FALSE,4,9,91,1,0.936616423,0.508374541,lisbon
11,172.3733583,Entire home/apt,FALSE,4,10,96,1,5.653883478,4.552304619,lisbon
12,268.2926829,Entire home/apt,FALSE,4,9,95,1,0.810783559,0.586960356,lisbon
13,138.6022514,Private room,FALSE,2,10,100,1,3.863678012,0.483822485,lisbon
14,227.7204503,Entire home/apt,FALSE,4,10,95,1,0.680955638,0.583546309,lisbon
15,355.3001876,Entire home/apt,FALSE,5,10,100,3,3.941197551,0.170785203,lisbon
16,170.2626642,Entire home/apt,FALSE,2,9,83,1,0.850968173,0.589452234,lisbon
17,222.0919325,Entire home/apt,FALSE,4,10,94,1,0.867738572,0.539582141,lisbon
18,227.7204503,Entire home/apt,FALSE,4,9,92,1,0.926826534,0.469152127,lisbon
19,146.8105066,Entire home/apt,FALSE,3,10,95,1,5.224986421,4.103365186,lisbon
20,240.619137,Entire home/apt,FALSE,4,10,93,2,0.925105601,0.476403894,lisbon
21,95.91932458,Private room,FALSE,2,10,93,1,7.106932063,0.544114891,lisbon
22,222.0919325,Entire home/apt,FALSE,5,10,99,2,1.058427083,0.385104965,lisbon
23,77.62664165,Private room,FALSE,2,10,95,1,7.371763717,0.481804383,lisbon
24,314.727955,Entire home/apt,FALSE,4,10,96,1,2.763067457,1.953312755,lisbon
25,138.6022514,Private room,FALSE,2,9,91,1,0.41089104,0.353206518,lisbon
26,92.40150094,Private room,FALSE,2,10,96,1,6.803797192,0.764222542,lisbon
27,112.3358349,Private room,FALSE,2,8,85,1,7.850759993,0.795622898,lisbon
28,188.3208255,Entire home/apt,FALSE,4,10,97,1,2.983129265,2.132485099,lisbon
29,222.0919325,Entire home/apt,FALSE,4,10,96,1,1.060904842,0.374348158,lisbon
30,222.0919325,Entire home/apt,FALSE,6,9,93,3,0.463649828,0.450206113,lisbon
31,216.4634146,Entire home/apt,FALSE,3,9,88,1,0.974652302,0.41896767,lisbon
32,245.3095685,Entire home/apt,FALSE,4,9,88,1,0.893686903,0.510498791,lisbon
33,313.3208255,Entire home/apt,FALSE,3,10,94,0,0.662757175,0.554368146,lisbon
34,209.4277674,Entire home/apt,FALSE,5,9,95,2,5.312271567,4.185143406,lisbon
35,248.5928705,Private room,FALSE,4,9,95,1,0.586825549,0.253393517,lisbon
36,187.3827392,Private room,FALSE,2,9,96,1,0.79548499,0.511412797,lisbon
37,146.8105066,Private room,FALSE,2,10,97,1,0.687166732,0.325980709,lisbon
38,86.77298311,Private room,FALSE,2,10,91,1,7.371766952,0.481825365,lisbon
39,134.1463415,Private room,FALSE,2,9,88,1,4.768175109,3.861792506,lisbon
40,107.879925,Private room,FALSE,2,10,91,1,3.951948688,0.150145382,lisbon
41,325.0469043,Entire home/apt,FALSE,5,10,95,2,0.936644245,0.508348724,lisbon
42,273.9212008,Entire home/apt,FALSE,4,9,100,2,3.408715276,2.474727963,lisbon
43,237.1013133,Entire home/apt,FALSE,2,10,94,0,0.441249759,0.316595682,lisbon
44,247.4202627,Entire home/apt,FALSE,4,9,94,2,3.295846023,2.495265434,lisbon
45,174.4840525,Entire home/apt,FALSE,4,10,95,1,0.925100661,0.476406679,lisbon
46,297.3733583,Entire home/apt,FALSE,4,10,93,1,0.989911112,0.40730251,lisbon
47,262.6641651,Entire home/apt,FALSE,4,10,94,2,6.072613553,0.578563195,lisbon
48,211.5384615,Entire home/apt,FALSE,4,9,89,1,5.335212525,4.221144737,lisbon
49,261.4915572,Entire home/apt,FALSE,5,9,83,2,5.501783394,4.367910968,lisbon
50,210.3658537,Entire home/apt,FALSE,4,9,93,1,1.015683052,0.602447684,lisbon
51,181.5196998,Entire home/apt,FALSE,4,9,93,1,3.281586974,2.487676318,lisbon
52,162.054409,Private room,FALSE,2,9,91,1,0.687182531,0.3259958,lisbon
53,162.054409,Private room,FALSE,2,10,91,1,0.687179511,0.325966776,lisbon
54,227.7204503,Entire home/apt,FALSE,2,9,90,1,5.119219718,4.098766988,lisbon
55,227.7204503,Entire home/apt,FALSE,4,9,93,0,0.687168979,0.325989623,lisbon
56,187.3827392,Entire home/apt,FALSE,5,9,92,1,5.07687242,4.011302303,lisbon
57,138.6022514,Private room,FALSE,2,10,91,1,0.3503486,0.351245968,lisbon
58,313.3208255,Entire home/apt,FALSE,6,9,91,3,6.079657202,0.548806494,lisbon
59,79.73733583,Private room,FALSE,2,9,90,1,7.392366255,0.410390669,lisbon
60,857.4108818,Entire home/apt,FALSE,2,10,100,1,6.058618965,0.534410145,lisbon
61,320.3564728,Entire home/apt,FALSE,6,10,89,2,0.911200999,0.500906101,lisbon
62,146.8105066,Private room,FALSE,4,10,100,1,6.64307515,0.750110873,lisbon
63,303.0018762,Entire home/apt,FALSE,6,8,87,2,0.674215491,0.558291631,lisbon
