reservation_id,price,room_type,room_shared,person_capacity,cleanliness_rating,guest_satisfaction_overall,bedrooms,city_center_distance,metro_distance,city_name
0,172.7725434,Private room,FALSE,2,10,93,1,1.222582408,0.397760458,rome
1,156.8746639,Private room,FALSE,2,10,95,1,2.978481669,1.595742211,rome
2,195.9179856,Private room,FALSE,2,9,80,1,0.935378798,0.64927252,rome
3,298.5528254,Entire home/apt,FALSE,4,9,90,1,2.203022845,0.494699232,rome
4,131.3912982,Private room,FALSE,3,9,91,1,1.295983536,0.867472501,rome
5,395.3428565,Entire home/apt,FALSE,6,9,90,2,1.696878602,0.347571118,rome
6,182.1242373,Entire home/apt,FALSE,4,9,89,2,1.285504437,0.8651764,rome
7,117.5975499,Private room,FALSE,2,9,90,1,1.883316653,0.203041427,rome
8,265.12052,Entire home/apt,FALSE,4,10,94,1,2.567960371,1.473020321,rome
9,184.4621607,Entire home/apt,FALSE,3,9,92,1,4.239377672,0.508953868,rome
10,158.978795,Private room,FALSE,2,9,94,1,3.38004305,0.60589824,rome
11,186.5662918,Entire home/apt,FALSE,2,10,96,0,5.684149366,0.989818832,rome
12,184.4621607,Entire home/apt,FALSE,2,9,86,1,4.580446718,0.553463804,rome
13,110.5837795,Entire home/apt,FALSE,2,10,99,1,2.511497014,0.062274587,rome
14,219.0634279,Entire home/apt,FALSE,3,10,91,1,3.008395468,1.910852029,rome
15,179.7863138,Entire home/apt,FALSE,4,9,91,1,0.969364731,0.690113531,rome
16,124.6113202,Private room,FALSE,4,9,92,1,4.323792988,0.422852106,rome
17,115.2596264,Entire home/apt,FALSE,3,7,77,1,2.178501954,0.614630554,rome
18,442.5689103,Entire home/apt,FALSE,2,10,100,1,1.872741599,0.155016959,rome
19,182.3580296,Entire home/apt,FALSE,5,9,87,0,4.561747091,0.451045317,rome
20,108.245856,Private room,FALSE,3,10,94,1,4.515193521,0.404000548,rome
21,299.7217871,Entire home/apt,FALSE,3,9,88,1,0.904990522,0.094495486,rome
22,317.9575901,Entire home/apt,FALSE,5,9,88,2,3.953548147,1.126494724,rome
23,208.5427723,Entire home/apt,FALSE,3,9,90,1,2.566606586,1.591320858,rome
24,286.8632081,Entire home/apt,FALSE,4,10,97,1,2.892346356,1.712725946,rome
25,140.7429921,Private room,FALSE,4,9,89,1,4.44263091,0.304344153,rome
26,184.4621607,Private room,FALSE,2,9,91,1,1.111264511,0.843823692,rome
27,111.7527412,Private room,FALSE,2,10,95,1,2.678325172,0.772595374,rome
28,412.6434901,Entire home/apt,FALSE,5,10,100,2,2.782975896,1.424945997,rome
29,239.6371543,Entire home/apt,FALSE,4,8,82,1,1.163478902,1.055184252,rome
30,233.7923456,Private room,FALSE,3,10,96,1,2.651805022,0.742406859,rome
31,103.8038015,Private room,FALSE,2,10,93,1,4.770439429,0.279689603,rome
32,190.073177,Entire home/apt,FALSE,4,10,96,1,1.628808426,1.192222255,rome
33,207.6076029,Entire home/apt,FALSE,5,9,95,2,4.477521653,0.366274023,rome
34,196.151778,Entire home/apt,FALSE,5,10,99,2,3.864669656,0.338569924,rome
35,182.1242373,Entire home/apt,FALSE,6,9,88,1,2.912555603,1.251283898,rome
36,117.5975499,Entire home/apt,FALSE,2,10,93,1,4.379669501,0.6955832,rome
37,155.7057022,Entire home/apt,FALSE,4,10,90,1,7.696201443,0.419951569,rome
38,368.6905291,Entire home/apt,FALSE,5,9,85,2,2.524357605,1.392018866,rome
39,173.0063358,Private room,FALSE,4,10,97,1,3.597635012,0.429919724,rome
40,96.79003109,Private room,FALSE,2,10,98,1,5.459489697,1.538290167,rome
41,94.45210764,Private room,FALSE,2,10,99,1,5.43992109,1.596011923,rome
42,246.6509246,Entire home/apt,FALSE,3,9,86,1,2.564380184,1.345537515,rome
43,251.0929792,Entire home/apt,FALSE,3,10,97,1,3.184256121,2.028159959,rome
44,472.7281229,Entire home/apt,FALSE,4,10,100,1,1.428346343,0.272639171,rome
45,242.2088701,Entire home/apt,FALSE,6,10,97,2,3.034447824,1.594728434,rome
46,161.5505108,Private room,FALSE,2,10,100,1,6.301224362,0.328465959,rome
47,169.9670353,Private room,FALSE,3,10,92,1,0.256690943,0.368479262,rome
48,126.2478666,Private room,FALSE,2,9,86,1,0.230953553,0.344267446,rome
49,123.2085662,Private room,FALSE,2,10,99,1,4.746593194,2.046425219,rome
50,414.9814135,Entire home/apt,FALSE,4,10,96,1,2.5304694,1.305024328,rome
51,227.0123676,Entire home/apt,FALSE,6,10,86,2,0.898085913,0.452846895,rome
52,131.3912982,Private room,FALSE,3,8,65,1,5.673157522,0.47815216,rome
53,173.0063358,Entire home/apt,FALSE,6,10,98,2,6.51343957,0.274290264,rome
54,102.4010474,Private room,FALSE,2,10,95,1,4.285022896,2.100409628,rome
55,236.1302691,Entire home/apt,FALSE,2,10,99,1,3.875075839,1.121189179,rome
56,161.5505108,Private room,FALSE,2,10,98,1,4.561292436,2.178005907,rome
57,184.4621607,Private room,FALSE,2,10,98,1,3.062301745,0.225720663,rome
58,265.12052,Entire home/apt,FALSE,2,10,100,1,5.44132388,0.405191289,rome
59,212.0496575,Entire home/apt,FALSE,4,10,91,2,1.551340998,0.967384453,rome
60,216.4917121,Entire home/apt,FALSE,3,10,96,1,1.601241767,0.64476094,rome
61,219.0634279,Entire home/apt,FALSE,4,10,97,1,5.311414362,0.798266665,rome
62,184.4621607,Entire home/apt,FALSE,6,9,90,2,0.58735763,0.186123543,rome
63,126.7154513,Private room,FALSE,4,10,94,1,1.22220207,0.379066991,rome
64,126.7154513,Private room,FALSE,4,10,93,1,1.021249947,0.357134996,rome
65,126.7154513,Private room,FALSE,3,9,95,1,0.990447316,0.336376363,rome
66,126.7154513,Private room,FALSE,4,10,94,1,0.286608126,0.313184842,rome
67,126.7154513,Private room,FALSE,3,10,95,1,0.304231453,0.332273982,rome
68,103.8038015,Private room,FALSE,2,9,93,1,3.528424946,0.46113265,rome
69,126.7154513,Private room,FALSE,3,9,91,1,3.07084206,0.776054613,rome
70,190.073177,Private room,FALSE,2,9,82,1,0.816791333,0.6258904,rome
71,184.2283684,Private room,FALSE,2,10,84,1,0.892088952,0.642215926,rome
72,293.8769785,Entire home/apt,FALSE,4,10,100,2,1.126911244,0.809969135,rome
73,239.6371543,Entire home/apt,FALSE,3,10,98,1,2.921004814,1.370759958,rome
74,87.43833727,Private room,FALSE,2,9,90,1,0.23219918,0.284331326,rome
75,149.8608936,Entire home/apt,FALSE,2,10,93,1,6.068886771,0.300394398,rome
76,207.6076029,Entire home/apt,FALSE,4,10,96,2,1.789178932,0.848885371,rome
77,195.9179856,Private room,FALSE,4,6,40,1,2.347513016,0.17625944,rome
78,161.5505108,Private room,FALSE,2,10,100,1,2.202688856,0.65862358,rome
79,170.6684123,Entire home/apt,FALSE,3,10,97,1,2.415932697,0.532236656,rome
80,230.5192528,Entire home/apt,FALSE,2,9,97,1,2.932603381,1.364274066,rome
81,172.7725434,Private room,FALSE,3,6,60,1,2.391007668,0.145173058,rome
82,126.7154513,Private room,FALSE,2,10,80,1,2.449128026,0.147374161,rome
83,265.12052,Private room,FALSE,2,10,100,1,1.195420322,0.811683736,rome
84,225.8434059,Entire home/apt,FALSE,6,10,96,2,2.075787132,0.257030177,rome
85,308.8396886,Entire home/apt,FALSE,4,8,71,1,2.05778876,1.126869975,rome
86,92.11418418,Private room,FALSE,2,10,95,1,1.195966111,0.132506241,rome
87,297.1500713,Entire home/apt,FALSE,3,10,87,1,2.430458706,0.960333072,rome
88,210.8806958,Private room,FALSE,2,10,93,4,0.683057619,0.124541715,rome
89,343.4409557,Private room,FALSE,4,8,80,1,1.408102884,0.259588195,rome
90,373.6001683,Private room,FALSE,3,9,86,1,1.288453697,0.465908301,rome
91,131.3912982,Private room,FALSE,3,10,99,1,3.456442052,0.48928082,rome
92,112.9217029,Private room,FALSE,2,9,91,1,2.649976132,0.472415956,rome
93,217.8944661,Entire home/apt,FALSE,4,10,98,1,4.525190094,0.280811197,rome
94,145.1850466,Private room,FALSE,2,10,100,1,4.421293612,1.778960412,rome
95,213.2186192,Entire home/apt,FALSE,5,9,93,2,5.3098629,3.096251097,rome
96,184.4621607,Entire home/apt,FALSE,4,10,96,1,1.142567898,0.71985974,rome
97,172.7725434,Entire home/apt,FALSE,4,10,92,2,3.117266628,0.60363493,rome
98,132.56026,Private room,FALSE,2,9,88,1,1.038552609,0.735892449,rome
99,184.4621607,Private room,FALSE,2,10,95,1,1.895774831,1.06294976,rome
100,134.8981834,Private room,FALSE,2,9,80,1,0.209480194,0.216841639,rome
101,162.2518879,Private room,FALSE,4,9,87,1,1.158997929,0.043596938,rome
102,112.9217029,Private room,FALSE,3,9,89,1,1.025432026,0.709020765,rome
103,201.7627943,Entire home/apt,FALSE,4,9,89,1,2.680996792,0.641624941,rome
104,305.5665957,Entire home/apt,FALSE,6,10,99,2,3.831007079,1.389023101,rome
105,194.7490239,Entire home/apt,FALSE,3,9,95,1,4.183173166,0.583121903,rome
106,251.3267716,Entire home/apt,FALSE,4,9,91,2,2.502101228,1.074458367,rome
107,357.2347041,Private room,FALSE,2,9,84,1,1.359542696,0.575226893,rome
108,139.340238,Entire home/apt,FALSE,3,10,92,2,5.46500873,1.202218338,rome
109,117.5975499,Private room,FALSE,3,9,89,1,1.376443082,0.179655067,rome
110,194.7490239,Entire home/apt,FALSE,4,10,99,2,1.376280026,1.14065514,rome
111,207.6076029,Entire home/apt,FALSE,3,9,89,0,2.677964707,1.289683538,rome
112,184.4621607,Entire home/apt,FALSE,4,9,95,2,4.678177569,0.900002274,rome
113,184.4621607,Entire home/apt,FALSE,5,10,93,2,4.22863044,0.361716313,rome
114,230.5192528,Entire home/apt,FALSE,4,10,100,2,2.864071775,0.503450599,rome
115,134.8981834,Private room,FALSE,4,9,80,1,3.423715071,0.098461441,rome
116,147.5229701,Private room,FALSE,4,9,82,1,3.5580852,0.255683577,rome
117,227.0123676,Entire home/apt,FALSE,4,9,94,1,2.309706872,0.600085028,rome
118,138.4050686,Private room,FALSE,2,10,97,1,3.874896133,1.294306323,rome
119,322.633437,Entire home/apt,FALSE,3,10,83,1,3.682871115,0.482171169,rome
120,161.5505108,Private room,FALSE,3,10,92,0,0.670902495,0.110729388,rome
121,184.4621607,Private room,FALSE,2,10,94,1,1.895783387,1.06296082,rome
122,373.6001683,Private room,FALSE,2,9,93,1,1.359542613,0.575215245,rome
123,230.5192528,Private room,FALSE,2,10,94,1,1.895753706,1.062926644,rome
124,184.4621607,Private room,FALSE,2,10,93,1,1.895763737,1.062939499,rome
125,322.633437,Private room,FALSE,4,10,100,1,1.895762148,1.062932317,rome
126,156.8746639,Entire home/apt,FALSE,6,10,93,2,4.297840361,0.894937609,rome
127,167.1615271,Entire home/apt,FALSE,5,9,89,2,2.754916711,1.564459157,rome
128,105.9079326,Private room,FALSE,3,9,92,1,2.612003509,0.311845378,rome
129,449.3488883,Entire home/apt,FALSE,5,10,98,2,2.457803128,1.106534833,rome
130,105.9079326,Private room,FALSE,3,10,94,1,2.622037877,0.296406287,rome
131,136.0671452,Private room,FALSE,2,10,99,1,5.275190036,0.441859834,rome
132,136.0671452,Private room,FALSE,2,10,95,1,5.36203616,0.308182912,rome
133,201.7627943,Entire home/apt,FALSE,4,10,93,0,2.884203894,1.39716323,rome
134,180.9552755,Entire home/apt,FALSE,4,10,93,1,4.661002068,2.236714761,rome
135,484.1839478,Entire home/apt,FALSE,5,10,97,2,2.162406865,0.442608056,rome
136,288.2659622,Entire home/apt,FALSE,6,10,94,2,4.602152031,2.190546128,rome
137,541.6968648,Entire home/apt,FALSE,5,9,80,2,2.482974142,1.357618549,rome
138,136.0671452,Private room,FALSE,2,8,93,1,1.5549427,1.118597455,rome
139,129.2871671,Private room,FALSE,2,9,92,1,1.287669411,0.84648529,rome
140,133.7292217,Private room,FALSE,2,10,96,1,4.010429773,0.217879364,rome
141,311.177612,Entire home/apt,FALSE,4,10,98,1,3.124153824,1.93951834,rome
142,207.6076029,Private room,FALSE,2,10,97,1,2.847829181,0.630574227,rome
143,138.1712763,Entire home/apt,FALSE,2,10,90,0,1.173366438,0.792648772,rome
144,247.8198864,Entire home/apt,FALSE,4,9,94,1,4.169713259,1.541089807,rome
145,165.9925654,Private room,FALSE,3,10,90,1,2.377124323,0.320051457,rome
146,149.8608936,Private room,FALSE,2,10,93,1,2.377126817,0.320072316,rome
147,167.1615271,Entire home/apt,FALSE,3,9,84,1,2.344301035,0.956482884,rome
148,92.11418418,Private room,FALSE,2,10,97,1,4.582886938,2.270320688,rome
149,131.3912982,Private room,FALSE,2,10,93,1,2.377117906,0.320073808,rome
150,95.62106937,Private room,FALSE,2,10,97,1,3.205568459,0.531511929,rome
151,193.5800622,Private room,FALSE,2,8,71,1,0.336501638,0.386505355,rome
152,305.5665957,Entire home/apt,FALSE,6,9,88,2,2.513443341,1.515511707,rome
153,124.6113202,Private room,FALSE,3,9,89,1,0.428040951,0.136004992,rome
154,184.4621607,Private room,FALSE,2,10,94,1,1.89576271,1.062933429,rome
155,472.7281229,Entire home/apt,FALSE,6,10,97,2,1.471573266,0.420414848,rome
156,82.9962827,Private room,FALSE,2,10,94,1,5.6128032,0.254636358,rome
157,475.0660463,Entire home/apt,FALSE,5,10,93,2,2.658309373,1.642299758,rome
158,178.8511444,Entire home/apt,FALSE,4,10,99,2,4.148585911,1.110989152,rome
159,124.6113202,Private room,FALSE,2,10,94,1,4.298071672,0.362862513,rome
160,253.664695,Entire home/apt,FALSE,4,10,97,1,4.868714365,1.6478678,rome
161,183.293199,Private room,FALSE,2,10,91,1,1.391906503,0.493447745,rome
162,119.9354733,Private room,FALSE,2,10,96,1,0.486946815,0.292188117,rome
